Channel	AMBG	RampGain	InputVoltage	ADCvalue
CAL	0	4	0.18	172
CAL	0	5	0.18	175
CAL	0	6	0.18	178
CAL	0	7	0.18	180
CAL	0	8	0.18	185
CAL	0	9	0.18	188
CAL	0	10	0.18	191
CAL	0	11	0.18	194
CAL	0	12	0.18	198
CAL	0	13	0.18	201
CAL	0	14	0.18	204
CAL	0	15	0.18	206
CAL	0	0	0.19	167
CAL	0	1	0.19	170
CAL	0	2	0.19	173
CAL	0	3	0.19	176
CAL	0	4	0.19	181
CAL	0	5	0.19	184
CAL	0	6	0.19	187
CAL	0	7	0.19	190
CAL	0	8	0.19	195
CAL	0	9	0.19	198
CAL	0	10	0.19	201
CAL	0	11	0.19	204
CAL	0	12	0.19	208
CAL	0	13	0.19	211
CAL	0	14	0.19	214
CAL	0	15	0.19	216
CAL	0	0	0.2	175
CAL	0	1	0.2	178
CAL	0	2	0.2	182
CAL	0	3	0.2	185
CAL	0	4	0.2	190
CAL	0	5	0.2	193
CAL	0	6	0.2	196
CAL	0	7	0.2	199
CAL	0	8	0.2	204
CAL	0	9	0.2	207
CAL	0	10	0.2	211
CAL	0	11	0.2	213
CAL	0	12	0.2	218
CAL	0	13	0.2	221
CAL	0	14	0.2	224
CAL	0	15	0.2	227
CAL	0	0	0.21	183
CAL	0	1	0.21	186
CAL	0	2	0.21	190
CAL	0	3	0.21	193
CAL	0	4	0.21	198
CAL	0	5	0.21	202
CAL	0	6	0.21	205
CAL	0	7	0.21	208
CAL	0	8	0.21	213
CAL	0	9	0.21	217
CAL	0	10	0.21	221
CAL	0	11	0.21	223
CAL	0	12	0.21	228
CAL	0	13	0.21	232
CAL	0	14	0.21	235
CAL	0	15	0.21	237
CAL	0	0	0.22	191
CAL	0	1	0.22	194
CAL	0	2	0.22	198
CAL	0	3	0.22	202
CAL	0	4	0.22	207
CAL	0	5	0.22	210
CAL	0	6	0.22	214
CAL	0	7	0.22	217
CAL	0	8	0.22	223
CAL	0	9	0.22	226
CAL	0	10	0.22	230
CAL	0	11	0.22	233
CAL	0	12	0.22	238
CAL	0	13	0.22	242
CAL	0	14	0.22	245
CAL	0	15	0.22	248
CAL	0	0	0.23	199
CAL	0	1	0.23	202
CAL	0	2	0.23	207
CAL	0	3	0.23	210
CAL	0	4	0.23	216
CAL	0	5	0.23	219
CAL	0	6	0.23	223
CAL	0	7	0.23	226
CAL	0	8	0.23	232
CAL	0	9	0.23	236
CAL	0	10	0.23	240
CAL	0	11	0.23	243
CAL	0	12	0.23	248
CAL	0	13	0.23	252
CAL	0	14	0.23	255
CAL	0	15	0.23	258
CAL	0	0	0.24	207
CAL	0	1	0.24	211
CAL	0	2	0.24	215
CAL	0	3	0.24	218
CAL	0	4	0.24	225
CAL	0	5	0.24	228
CAL	0	6	0.24	232
CAL	0	7	0.24	235
CAL	0	8	0.24	242
CAL	0	9	0.24	245
CAL	0	10	0.24	249
CAL	0	11	0.24	253
CAL	0	12	0.24	259
CAL	0	13	0.24	262
CAL	0	14	0.24	266
CAL	0	15	0.24	269
CAL	0	0	0.25	215
CAL	0	1	0.25	219
CAL	0	2	0.25	223
CAL	0	3	0.25	227
CAL	0	4	0.25	233
CAL	0	5	0.25	237
CAL	0	6	0.25	241
CAL	0	7	0.25	244
CAL	0	8	0.25	251
CAL	0	9	0.25	255
CAL	0	10	0.25	259
CAL	0	11	0.25	263
CAL	0	12	0.25	269
CAL	0	13	0.25	273
CAL	0	14	0.25	276
CAL	0	15	0.25	279
CAL	0	0	0.26	223
CAL	0	1	0.26	227
CAL	0	2	0.26	232
CAL	0	3	0.26	236
CAL	0	4	0.26	242
CAL	0	5	0.26	246
CAL	0	6	0.26	250
CAL	0	7	0.26	254
CAL	0	8	0.26	260
CAL	0	9	0.26	265
CAL	0	10	0.26	269
CAL	0	11	0.26	273
CAL	0	12	0.26	279
CAL	0	13	0.26	283
CAL	0	14	0.26	287
CAL	0	15	0.26	290
CAL	0	0	0.27	231
CAL	0	1	0.27	235
CAL	0	2	0.27	240
CAL	0	3	0.27	244
CAL	0	4	0.27	251
CAL	0	5	0.27	255
CAL	0	6	0.27	259
CAL	0	7	0.27	263
CAL	0	8	0.27	270
CAL	0	9	0.27	274
CAL	0	10	0.27	279
CAL	0	11	0.27	283
CAL	0	12	0.27	289
CAL	0	13	0.27	293
CAL	0	14	0.27	297
CAL	0	15	0.27	300
CAL	0	0	0.28	239
CAL	0	1	0.28	243
CAL	0	2	0.28	248
CAL	0	3	0.28	253
CAL	0	4	0.28	260
CAL	0	5	0.28	264
CAL	0	6	0.28	268
CAL	0	7	0.28	272
CAL	0	8	0.28	279
CAL	0	9	0.28	284
CAL	0	10	0.28	289
CAL	0	11	0.28	292
CAL	0	12	0.28	299
CAL	0	13	0.28	303
CAL	0	14	0.28	308
CAL	0	15	0.28	311
CAL	0	0	0.29	247
CAL	0	1	0.29	252
CAL	0	2	0.29	257
CAL	0	3	0.29	261
CAL	0	4	0.29	268
CAL	0	5	0.29	273
CAL	0	6	0.29	277
CAL	0	7	0.29	281
CAL	0	8	0.29	289
CAL	0	9	0.29	293
CAL	0	10	0.29	298
CAL	0	11	0.29	302
CAL	0	12	0.29	309
CAL	0	13	0.29	313
CAL	0	14	0.29	318
CAL	0	15	0.29	321
CAL	0	0	0.3	255
CAL	0	1	0.3	260
CAL	0	2	0.3	265
CAL	0	3	0.3	270
CAL	0	4	0.3	277
CAL	0	5	0.3	281
CAL	0	6	0.3	286
CAL	0	7	0.3	290
CAL	0	8	0.3	298
CAL	0	9	0.3	303
CAL	0	10	0.3	308
CAL	0	11	0.3	312
CAL	0	12	0.3	319
CAL	0	13	0.3	324
CAL	0	14	0.3	328
CAL	0	15	0.3	332
CAL	0	0	0.31	263
CAL	0	1	0.31	268
CAL	0	2	0.31	274
CAL	0	3	0.31	278
CAL	0	4	0.31	286
CAL	0	5	0.31	290
CAL	0	6	0.31	295
CAL	0	7	0.31	299
CAL	0	8	0.31	308
CAL	0	9	0.31	313
CAL	0	10	0.31	318
CAL	0	11	0.31	322
CAL	0	12	0.31	329
CAL	0	13	0.31	334
CAL	0	14	0.31	339
CAL	0	15	0.31	343
CAL	0	0	0.32	271
CAL	0	1	0.32	276
CAL	0	2	0.32	282
CAL	0	3	0.32	287
CAL	0	4	0.32	295
CAL	0	5	0.32	299
CAL	0	6	0.32	304
CAL	0	7	0.32	309
CAL	0	8	0.32	317
CAL	0	9	0.32	322
CAL	0	10	0.32	328
CAL	0	11	0.32	332
CAL	0	12	0.32	340
CAL	0	13	0.32	344
CAL	0	14	0.32	349
CAL	0	15	0.32	353
CAL	0	0	0.33	279
CAL	0	1	0.33	284
CAL	0	2	0.33	290
CAL	0	3	0.33	295
CAL	0	4	0.33	303
CAL	0	5	0.33	308
CAL	0	6	0.33	313
CAL	0	7	0.33	318
CAL	0	8	0.33	327
CAL	0	9	0.33	332
CAL	0	10	0.33	337
CAL	0	11	0.33	342
CAL	0	12	0.33	350
CAL	0	13	0.33	354
CAL	0	14	0.33	360
CAL	0	15	0.33	364
CAL	0	0	0.34	287
CAL	0	1	0.34	293
CAL	0	2	0.34	299
CAL	0	3	0.34	304
CAL	0	4	0.34	312
CAL	0	5	0.34	317
CAL	0	6	0.34	323
CAL	0	7	0.34	327
CAL	0	8	0.34	336
CAL	0	9	0.34	341
CAL	0	10	0.34	347
CAL	0	11	0.34	352
CAL	0	12	0.34	360
CAL	0	13	0.34	365
CAL	0	14	0.34	370
CAL	0	15	0.34	374
CAL	0	0	0.35	295
CAL	0	1	0.35	301
CAL	0	2	0.35	307
CAL	0	3	0.35	312
CAL	0	4	0.35	321
CAL	0	5	0.35	326
CAL	0	6	0.35	332
CAL	0	7	0.35	336
CAL	0	8	0.35	345
CAL	0	9	0.35	351
CAL	0	10	0.35	357
CAL	0	11	0.35	362
CAL	0	12	0.35	370
CAL	0	13	0.35	375
CAL	0	14	0.35	380
CAL	0	15	0.35	385
CAL	0	0	0.36	303
CAL	0	1	0.36	309
CAL	0	2	0.36	315
CAL	0	3	0.36	321
CAL	0	4	0.36	330
CAL	0	5	0.36	335
CAL	0	6	0.36	341
CAL	0	7	0.36	345
CAL	0	8	0.36	355
CAL	0	9	0.36	361
CAL	0	10	0.36	367
CAL	0	11	0.36	372
CAL	0	12	0.36	380
CAL	0	13	0.36	385
CAL	0	14	0.36	391
CAL	0	15	0.36	395
CAL	0	0	0.37	311
CAL	0	1	0.37	317
CAL	0	2	0.37	324
CAL	0	3	0.37	329
CAL	0	4	0.37	338
CAL	0	5	0.37	344
CAL	0	6	0.37	350
CAL	0	7	0.37	355
CAL	0	8	0.37	364
CAL	0	9	0.37	370
CAL	0	10	0.37	376
CAL	0	11	0.37	382
CAL	0	12	0.37	390
CAL	0	13	0.37	396
CAL	0	14	0.37	401
CAL	0	15	0.37	406
CAL	0	0	0.38	319
CAL	0	1	0.38	326
CAL	0	2	0.38	332
CAL	0	3	0.38	338
CAL	0	4	0.38	347
CAL	0	5	0.38	353
CAL	0	6	0.38	359
CAL	0	7	0.38	364
CAL	0	8	0.38	374
CAL	0	9	0.38	380
CAL	0	10	0.38	386
CAL	0	11	0.38	391
CAL	0	12	0.38	400
CAL	0	13	0.38	406
CAL	0	14	0.38	411
CAL	0	15	0.38	416
CAL	0	0	0.39	327
CAL	0	1	0.39	334
CAL	0	2	0.39	341
CAL	0	3	0.39	346
CAL	0	4	0.39	356
CAL	0	5	0.39	362
CAL	0	6	0.39	368
CAL	0	7	0.39	373
CAL	0	8	0.39	383
CAL	0	9	0.39	389
CAL	0	10	0.39	396
CAL	0	11	0.39	401
CAL	0	12	0.39	411
CAL	0	13	0.39	416
CAL	0	14	0.39	422
CAL	0	15	0.39	427
CAL	0	0	0.4	335
CAL	0	1	0.4	342
CAL	0	2	0.4	349
CAL	0	3	0.4	355
CAL	0	4	0.4	365
CAL	0	5	0.4	371
CAL	0	6	0.4	377
CAL	0	7	0.4	382
CAL	0	8	0.4	393
CAL	0	9	0.4	399
CAL	0	10	0.4	406
CAL	0	11	0.4	411
CAL	0	12	0.4	421
CAL	0	13	0.4	426
CAL	0	14	0.4	433
CAL	0	15	0.4	437
CAL	0	0	0.41	344
CAL	0	1	0.41	350
CAL	0	2	0.41	358
CAL	0	3	0.41	363
CAL	0	4	0.41	374
CAL	0	5	0.41	380
CAL	0	6	0.41	386
CAL	0	7	0.41	391
CAL	0	8	0.41	402
CAL	0	9	0.41	409
CAL	0	10	0.41	416
CAL	0	11	0.41	421
CAL	0	12	0.41	431
CAL	0	13	0.41	437
CAL	0	14	0.41	443
CAL	0	15	0.41	448
CAL	0	0	0.42	352
CAL	0	1	0.42	359
CAL	0	2	0.42	366
CAL	0	3	0.42	372
CAL	0	4	0.42	382
CAL	0	5	0.42	389
CAL	0	6	0.42	395
CAL	0	7	0.42	401
CAL	0	8	0.42	412
CAL	0	9	0.42	418
CAL	0	10	0.42	425
CAL	0	11	0.42	431
CAL	0	12	0.42	441
CAL	0	13	0.42	447
CAL	0	14	0.42	454
CAL	0	15	0.42	459
CAL	0	0	0.43	360
CAL	0	1	0.43	367
CAL	0	2	0.43	374
CAL	0	3	0.43	380
CAL	0	4	0.43	391
CAL	0	5	0.43	398
CAL	0	6	0.43	404
CAL	0	7	0.43	410
CAL	0	8	0.43	421
CAL	0	9	0.43	428
CAL	0	10	0.43	435
CAL	0	11	0.43	441
CAL	0	12	0.43	451
CAL	0	13	0.43	457
CAL	0	14	0.43	464
CAL	0	15	0.43	469
CAL	0	0	0.44	368
CAL	0	1	0.44	375
CAL	0	2	0.44	383
CAL	0	3	0.44	389
CAL	0	4	0.44	400
CAL	0	5	0.44	406
CAL	0	6	0.44	413
CAL	0	7	0.44	419
CAL	0	8	0.44	431
CAL	0	9	0.44	438
CAL	0	10	0.44	445
CAL	0	11	0.44	451
CAL	0	12	0.44	462
CAL	0	13	0.44	468
