Channel	AMBG	RampGain	InputVoltage	ADCvalue
Hrefy	0	13	0.16	183
Hrefy	0	14	0.16	186
Hrefy	0	15	0.16	188
Hrefy	0	0	0.17	153
Hrefy	0	1	0.17	156
Hrefy	0	2	0.17	159
Hrefy	0	3	0.17	161
Hrefy	0	4	0.17	166
Hrefy	0	5	0.17	168
Hrefy	0	6	0.17	171
Hrefy	0	7	0.17	174
Hrefy	0	8	0.17	178
Hrefy	0	9	0.17	181
Hrefy	0	10	0.17	184
Hrefy	0	11	0.17	187
Hrefy	0	12	0.17	191
Hrefy	0	13	0.17	193
Hrefy	0	14	0.17	196
Hrefy	0	15	0.17	198
Hrefy	0	0	0.18	161
Hrefy	0	1	0.18	164
Hrefy	0	2	0.18	167
Hrefy	0	3	0.18	170
Hrefy	0	4	0.18	174
Hrefy	0	5	0.18	177
Hrefy	0	6	0.18	180
Hrefy	0	7	0.18	183
Hrefy	0	8	0.18	188
Hrefy	0	9	0.18	191
Hrefy	0	10	0.18	194
Hrefy	0	11	0.18	196
Hrefy	0	12	0.18	201
Hrefy	0	13	0.18	204
Hrefy	0	14	0.18	206
Hrefy	0	15	0.18	209
Hrefy	0	0	0.19	169
Hrefy	0	1	0.19	172
Hrefy	0	2	0.19	176
Hrefy	0	3	0.19	178
Hrefy	0	4	0.19	183
Hrefy	0	5	0.19	186
Hrefy	0	6	0.19	189
Hrefy	0	7	0.19	192
Hrefy	0	8	0.19	197
Hrefy	0	9	0.19	200
Hrefy	0	10	0.19	204
Hrefy	0	11	0.19	206
Hrefy	0	12	0.19	211
Hrefy	0	13	0.19	214
Hrefy	0	14	0.19	217
Hrefy	0	15	0.19	219
Hrefy	0	0	0.2	177
Hrefy	0	1	0.2	180
Hrefy	0	2	0.2	184
Hrefy	0	3	0.2	187
Hrefy	0	4	0.2	192
Hrefy	0	5	0.2	195
Hrefy	0	6	0.2	198
Hrefy	0	7	0.2	201
Hrefy	0	8	0.2	207
Hrefy	0	9	0.2	210
Hrefy	0	10	0.2	213
Hrefy	0	11	0.2	216
Hrefy	0	12	0.2	221
Hrefy	0	13	0.2	224
Hrefy	0	14	0.2	227
Hrefy	0	15	0.2	230
Hrefy	0	0	0.21	185
Hrefy	0	1	0.21	189
Hrefy	0	2	0.21	192
Hrefy	0	3	0.21	195
Hrefy	0	4	0.21	201
Hrefy	0	5	0.21	204
Hrefy	0	6	0.21	207
Hrefy	0	7	0.21	210
Hrefy	0	8	0.21	216
Hrefy	0	9	0.21	219
Hrefy	0	10	0.21	223
Hrefy	0	11	0.21	226
Hrefy	0	12	0.21	231
Hrefy	0	13	0.21	234
Hrefy	0	14	0.21	237
Hrefy	0	15	0.21	240
Hrefy	0	0	0.22	193
Hrefy	0	1	0.22	197
Hrefy	0	2	0.22	201
Hrefy	0	3	0.22	204
Hrefy	0	4	0.22	209
Hrefy	0	5	0.22	213
Hrefy	0	6	0.22	217
Hrefy	0	7	0.22	219
Hrefy	0	8	0.22	225
Hrefy	0	9	0.22	229
Hrefy	0	10	0.22	233
Hrefy	0	11	0.22	236
Hrefy	0	12	0.22	241
Hrefy	0	13	0.22	245
Hrefy	0	14	0.22	248
Hrefy	0	15	0.22	251
Hrefy	0	0	0.23	201
Hrefy	0	1	0.23	205
Hrefy	0	2	0.23	209
Hrefy	0	3	0.23	212
Hrefy	0	4	0.23	218
Hrefy	0	5	0.23	222
Hrefy	0	6	0.23	225
Hrefy	0	7	0.23	229
Hrefy	0	8	0.23	235
Hrefy	0	9	0.23	239
Hrefy	0	10	0.23	243
Hrefy	0	11	0.23	246
Hrefy	0	12	0.23	252
Hrefy	0	13	0.23	255
Hrefy	0	14	0.23	258
Hrefy	0	15	0.23	261
Hrefy	0	0	0.24	209
Hrefy	0	1	0.24	213
Hrefy	0	2	0.24	217
Hrefy	0	3	0.24	221
Hrefy	0	4	0.24	227
Hrefy	0	5	0.24	231
Hrefy	0	6	0.24	234
Hrefy	0	7	0.24	238
Hrefy	0	8	0.24	244
Hrefy	0	9	0.24	248
Hrefy	0	10	0.24	252
Hrefy	0	11	0.24	256
Hrefy	0	12	0.24	261
Hrefy	0	13	0.24	265
Hrefy	0	14	0.24	269
Hrefy	0	15	0.24	272
Hrefy	0	0	0.25	217
Hrefy	0	1	0.25	221
Hrefy	0	2	0.25	226
Hrefy	0	3	0.25	229
Hrefy	0	4	0.25	236
Hrefy	0	5	0.25	240
Hrefy	0	6	0.25	244
Hrefy	0	7	0.25	247
Hrefy	0	8	0.25	254
Hrefy	0	9	0.25	258
Hrefy	0	10	0.25	262
Hrefy	0	11	0.25	266
Hrefy	0	12	0.25	272
Hrefy	0	13	0.25	275
Hrefy	0	14	0.25	279
Hrefy	0	15	0.25	282
Hrefy	0	0	0.26	225
Hrefy	0	1	0.26	229
Hrefy	0	2	0.26	234
Hrefy	0	3	0.26	238
Hrefy	0	4	0.26	244
Hrefy	0	5	0.26	249
Hrefy	0	6	0.26	253
Hrefy	0	7	0.26	256
Hrefy	0	8	0.26	263
Hrefy	0	9	0.26	267
Hrefy	0	10	0.26	272
Hrefy	0	11	0.26	276
Hrefy	0	12	0.26	282
Hrefy	0	13	0.26	286
Hrefy	0	14	0.26	289
Hrefy	0	15	0.26	293
Hrefy	0	0	0.27	233
Hrefy	0	1	0.27	238
Hrefy	0	2	0.27	242
Hrefy	0	3	0.27	246
Hrefy	0	4	0.27	253
Hrefy	0	5	0.27	257
Hrefy	0	6	0.27	262
Hrefy	0	7	0.27	265
Hrefy	0	8	0.27	273
Hrefy	0	9	0.27	277
Hrefy	0	10	0.27	281
Hrefy	0	11	0.27	285
Hrefy	0	12	0.27	292
Hrefy	0	13	0.27	296
Hrefy	0	14	0.27	300
Hrefy	0	15	0.27	303
Hrefy	0	0	0.28	241
Hrefy	0	1	0.28	246
Hrefy	0	2	0.28	251
Hrefy	0	3	0.28	255
Hrefy	0	4	0.28	262
Hrefy	0	5	0.28	266
Hrefy	0	6	0.28	271
Hrefy	0	7	0.28	275
Hrefy	0	8	0.28	282
Hrefy	0	9	0.28	286
Hrefy	0	10	0.28	291
Hrefy	0	11	0.28	295
Hrefy	0	12	0.28	302
Hrefy	0	13	0.28	306
Hrefy	0	14	0.28	310
Hrefy	0	15	0.28	314
Hrefy	0	0	0.29	249
Hrefy	0	1	0.29	254
Hrefy	0	2	0.29	259
Hrefy	0	3	0.29	264
Hrefy	0	4	0.29	271
Hrefy	0	5	0.29	275
Hrefy	0	6	0.29	280
Hrefy	0	7	0.29	284
Hrefy	0	8	0.29	291
Hrefy	0	9	0.29	296
Hrefy	0	10	0.29	301
Hrefy	0	11	0.29	305
Hrefy	0	12	0.29	312
Hrefy	0	13	0.29	316
Hrefy	0	14	0.29	321
Hrefy	0	15	0.29	325
Hrefy	0	0	0.3	257
Hrefy	0	1	0.3	262
Hrefy	0	2	0.3	268
Hrefy	0	3	0.3	272
Hrefy	0	4	0.3	280
Hrefy	0	5	0.3	284
Hrefy	0	6	0.3	289
Hrefy	0	7	0.3	293
